Attrition,BusinessTravel,Department,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
Yes,Travel_Frequently,Finance,Bachelor,4,Male,5,5,Finance Manager,4,Married,Yes,6.39,4,7.17,5,5,12.27,18.43,12.06
Yes,Not_Travel,Marketing,Master,4,Female,3,5,Human Resources Manager,4,Single,Yes,6.17,4,11.35,4,3,7.83,11.04,6.51
Yes,Travel_Frequently,Finance,Master,4,Male,2,1,Sales Representative,2,Single,No,3,3,23.86,1,3,27.89,9.18,15.42
Yes,Travel_Frequently,Sales,Doctor,4,Male,5,3,Human Resources Manager,3,Single,No,3.84,1,4.03,5,5,13.92,13.35,11.47
Yes,Travel_Frequently,Marketing,Master,3,Male,1,3,Marketing Specialist,4,Married,Yes,0.63,3,19.32,4,2,20.18,14.91,6.55
No,Travel_Rarely,Marketing,Master,2,Female,2,2,Finance Manager,1,Married,Yes,9.7,5,29.97,4,2,23.54,14,3.52
No,Not_Travel,Research,Bachelor,4,Male,5,3,Marketing Specialist,4,Single,Yes,3.42,4,23.91,9,2,28.03,0.26,9.98
No,Travel_Frequently,Research,Bachelor,4,Female,1,4,Marketing Specialist,1,Married,Yes,2.67,2,30.85,5,5,2.57,16.52,2.32
No,Travel_Rarely,Sales,Master,4,Female,5,3,Research Scientist,2,Married,Yes,1.67,1,9.51,7,4,0.14,14.68,19.11
No,Travel_Frequently,Marketing,Bachelor,1,Female,2,5,Research Scientist,2,Single,Yes,2.74,1,1.57,4,3,3.16,4.21,6.87
Yes,Travel_Frequently,Research,Bachelor,3,Male,4,2,Finance Manager,2,Married,Yes,8.69,1,21.18,1,1,15.75,4.86,15.12
No,Not_Travel,Finance,Master,4,Male,5,4,Human Resources Manager,4,Married,No,2.64,4,21.41,6,4,13.51,12.54,12.08
Yes,Travel_Frequently,Finance,Master,4,Female,1,5,Marketing Specialist,3,Married,Yes,0.87,1,4.29,1,4,8.05,9.56,14.72
Yes,Not_Travel,Marketing,Doctor,4,Male,2,4,Sales Representative,4,Married,No,0.49,1,38.64,7,5,2.75,5.77,0.72
No,Travel_Rarely,Marketing,Bachelor,2,Male,4,4,Human Resources Manager,3,Divorced,No,7.92,3,39.42,1,2,24.95,1.15,16.81
No,Not_Travel,Finance,Doctor,3,Male,1,4,Research Scientist,4,Married,Yes,8.93,1,12.65,4,3,13.95,18.05,14.32
No,Travel_Frequently,Sales,Master,4,Male,5,4,Research Scientist,2,Married,No,8.17,1,7.03,4,4,1.4,11.78,19.24
No,Travel_Frequently,Finance,Doctor,4,Female,2,5,Marketing Specialist,4,Married,Yes,0.59,5,15.77,7,2,27.06,3.61,13.53
No,Travel_Frequently,Finance,Doctor,2,Male,5,2,Research Scientist,2,Single,Yes,4.83,3,36.36,6,5,26.31,7.36,6.19
Yes,Travel_Frequently,Research,Master,4,Male,2,4,Marketing Specialist,4,Divorced,No,6.43,4,15.35,9,4,2.58,5.24,12.78
No,Not_Travel,Human Resources,Bachelor,4,Female,2,2,Finance Manager,4,Married,No,4.48,4,17.87,2,5,14.18,5.01,14.56
Yes,Not_Travel,Marketing,Master,1,Female,4,2,Human Resources Manager,3,Divorced,No,6.68,4,17.5,3,5,28.79,7.88,9.92
No,Not_Travel,Human Resources,Master,1,Female,1,5,Finance Manager,4,Married,Yes,3.8,2,32.88,5,2,3.7,16.66,11.21
No,Travel_Frequently,Finance,Doctor,1,Male,2,3,Sales Representative,1,Divorced,No,8,2,0.5,7,2,14.14,9.85,3.63
Yes,Travel_Rarely,Sales,Doctor,4,Female,2,5,Marketing Specialist,4,Divorced,Yes,1.5,1,29.59,1,1,20.93,5.79,15.83
No,Not_Travel,Human Resources,Bachelor,4,Male,4,2,Research Scientist,3,Married,No,3.9,1,15.32,6,3,20.94,9.83,14.08
Yes,Travel_Frequently,Human Resources,Bachelor,2,Female,1,1,Finance Manager,1,Single,No,2.81,5,33.5,8,3,15.01,16.04,19.72
No,Travel_Rarely,Sales,Bachelor,3,Male,1,4,Marketing Specialist,4,Divorced,Yes,6.27,3,7.04,9,4,6.24,6.17,3.6
No,Not_Travel,Sales,Doctor,1,Male,5,4,Finance Manager,4,Married,Yes,9.38,4,25.05,1,5,22.97,1.59,13.19
Yes,Travel_Frequently,Research,Doctor,4,Male,5,5,Finance Manager,1,Married,No,3.39,2,35.2,1,2,9.79,5.52,9.17
Yes,Travel_Rarely,Marketing,Bachelor,4,Male,4,4,Human Resources Manager,4,Married,No,2.91,3,19.46,6,5,27.05,5.03,12.09
No,Travel_Frequently,Finance,Bachelor,4,Female,4,5,Human Resources Manager,4,Divorced,Yes,5.17,4,34.76,4,1,1.55,12.44,1.15
Yes,Travel_Rarely,Research,Master,1,Male,2,2,Sales Representative,3,Divorced,Yes,8.27,1,14.27,2,2,6.87,1.1,3.01
No,Not_Travel,Marketing,Master,3,Male,1,5,Marketing Specialist,1,Single,Yes,6.47,1,25.03,4,2,14.79,18.71,11.93
No,Not_Travel,Research,Bachelor,4,Female,2,3,Sales Representative,1,Divorced,Yes,7.07,4,2.47,9,4,19.32,6.72,2.84
Yes,Not_Travel,Finance,Master,3,Male,4,2,Sales Representative,3,Single,No,9.27,1,16.83,3,1,11.51,6.69,19.11
Yes,Travel_Rarely,Marketing,Master,4,Female,1,4,Research Scientist,3,Single,No,1.26,3,15.56,1,5,17,5.51,17.86
No,Not_Travel,Marketing,Bachelor,4,Male,1,2,Marketing Specialist,2,Married,No,1.11,1,38.31,4,2,21.29,17.56,0.7
Yes,Travel_Frequently,Marketing,Bachelor,4,Female,1,5,Marketing Specialist,2,Divorced,Yes,3.99,2,17.81,9,2,17.71,2.25,17.14
No,Travel_Frequently,Marketing,Master,3,Female,2,5,Marketing Specialist,4,Single,Yes,1.88,3,2.01,3,5,29.31,11.88,4.11
No,Not_Travel,Human Resources,Bachelor,1,Female,3,1,Sales Representative,3,Married,Yes,7.55,1,29.82,8,2,18.41,1.94,16.63
No,Not_Travel,Marketing,Doctor,4,Female,3,5,Marketing Specialist,4,Married,No,6.89,4,33.26,4,2,16.54,11.65,2.69
Yes,Travel_Rarely,Research,Bachelor,4,Female,5,1,Human Resources Manager,4,Married,No,7.51,3,17.97,6,2,0.12,3.92,7.28
Yes,Travel_Rarely,Sales,Master,4,Male,2,2,Human Resources Manager,4,Divorced,No,2.38,2,4.96,7,5,9.05,19.96,5.85
No,Travel_Rarely,Marketing,Master,4,Male,1,1,Research Scientist,4,Married,Yes,5,4,35.71,1,5,6.22,4.27,16.24
No,Travel_Frequently,Human Resources,Master,4,Male,1,2,Finance Manager,1,Divorced,No,8.55,4,23.46,2,5,26.74,12.85,7.93
No,Not_Travel,Human Resources,Doctor,4,Male,2,2,Human Resources Manager,3,Single,Yes,1.69,5,33.3,1,5,7.77,4.14,7.86
No,Not_Travel,Marketing,Master,4,Male,5,4,Human Resources Manager,4,Single,Yes,1.77,1,1.44,8,2,1.73,17.74,9.04
Yes,Not_Travel,Human Resources,Bachelor,4,Female,2,3,Sales Representative,4,Single,Yes,6.99,5,18.9,2,3,3.02,17.98,17.35
Yes,Travel_Rarely,Human Resources,Master,1,Male,5,3,Sales Representative,3,Single,No,8.9,3,28.01,9,4,2.38,3.26,19.37
Yes,Travel_Rarely,Finance,Master,4,Male,5,5,Marketing Specialist,4,Divorced,No,4.08,5,13.39,8,2,22.22,19.22,16.95
Yes,Travel_Frequently,Finance,Master,4,Male,4,1,Finance Manager,1,Single,No,4.58,2,28.17,9,2,22.61,7.96,1.08
No,Travel_Frequently,Research,Doctor,1,Male,2,4,Human Resources Manager,3,Divorced,Yes,0.77,2,3.7,4,4,2.92,12.88,7.44
No,Travel_Rarely,Research,Doctor,4,Male,5,4,Marketing Specialist,4,Divorced,No,7.18,1,5.65,1,4,15.41,7.47,4.67
Yes,Not_Travel,Human Resources,Bachelor,1,Female,2,2,Finance Manager,2,Divorced,No,2.71,3,21.02,5,2,5.41,15.79,1.71
No,Travel_Rarely,Finance,Bachelor,3,Female,1,1,Sales Representative,4,Single,Yes,2.16,5,38.39,6,3,9.15,1,14.59
Yes,Not_Travel,Finance,Master,4,Female,1,4,Marketing Specialist,4,Single,No,3.64,1,21.38,4,2,29.23,19.26,12.97
Yes,Travel_Frequently,Research,Doctor,4,Female,3,3,Sales Representative,4,Divorced,Yes,8.98,4,6.16,1,5,4.96,2.71,14.97
No,Not_Travel,Finance,Bachelor,3,Female,2,3,Human Resources Manager,3,Married,No,7.61,4,4.91,7,5,8.54,14.09,5.18
No,Travel_Frequently,Finance,Master,4,Male,5,3,Marketing Specialist,2,Single,No,6.67,5,21.25,5,1,12.45,6.67,12.4
Yes,Not_Travel,Human Resources,Master,3,Male,4,2,Sales Representative,3,Divorced,No,2.92,2,4.41,9,4,12.97,9.02,19.94
No,Travel_Rarely,Marketing,Doctor,2,Male,5,3,Research Scientist,3,Divorced,Yes,8.71,2,27.99,7,2,1.8,5.18,18.08
No,Travel_Frequently,Research,Master,4,Female,5,5,Human Resources Manager,2,Single,Yes,8.8,5,3.27,5,1,26.98,12.16,19.9
No,Travel_Frequently,Finance,Master,1,Male,3,5,Research Scientist,3,Single,No,5.58,2,13.59,9,4,23.85,0.95,4.03
Yes,Travel_Frequently,Marketing,Bachelor,4,Male,4,3,Research Scientist,2,Divorced,No,4.14,4,18.35,3,4,8.61,8.19,14.16
No,Travel_Rarely,Marketing,Doctor,2,Female,5,5,Finance Manager,1,Married,No,6.19,2,22.39,5,5,12,7.19,1.6
Yes,Travel_Frequently,Research,Bachelor,4,Male,3,2,Sales Representative,1,Married,Yes,5.72,3,37.01,3,2,3.01,9.94,12.48
No,Travel_Frequently,Sales,Bachelor,3,Female,3,3,Marketing Specialist,4,Married,No,6.57,3,18.31,7,2,3.13,7.87,13.54
Yes,Not_Travel,Marketing,Bachelor,1,Female,2,1,Finance Manager,4,Divorced,No,1.12,3,31.77,6,1,15.04,19.3,17.26
No,Travel_Rarely,Marketing,Doctor,1,Male,3,2,Human Resources Manager,1,Single,Yes,3.79,3,37.9,6,2,4.86,14.75,18.36
Yes,Travel_Rarely,Sales,Bachelor,3,Female,4,2,Human Resources Manager,2,Married,No,3.71,2,13.43,1,1,24.66,12.06,14.95
Yes,Travel_Rarely,Finance,Doctor,4,Male,4,3,Finance Manager,4,Divorced,No,9.79,5,0.58,1,1,14.01,3.09,3.65
No,Not_Travel,Research,Doctor,2,Male,5,1,Sales Representative,1,Single,Yes,6.11,4,37.15,7,2,8.22,14.8,16.82
Yes,Travel_Rarely,Finance,Bachelor,3,Male,5,5,Research Scientist,3,Married,Yes,9.22,2,22.34,7,2,22.12,3.56,16.36
Yes,Travel_Rarely,Human Resources,Master,4,Female,4,2,Marketing Specialist,3,Divorced,Yes,5.32,1,5.03,7,3,16.15,14.11,14.32
Yes,Travel_Frequently,Sales,Bachelor,1,Male,4,1,Research Scientist,3,Single,Yes,9.89,5,25.91,5,1,23.2,17.97,17.29
Yes,Travel_Frequently,Research,Master,1,Male,2,1,Research Scientist,4,Married,Yes,3.89,5,14.7,4,2,1.89,1.37,8.96
No,Travel_Rarely,Finance,Master,3,Female,3,1,Marketing Specialist,1,Married,Yes,7.09,1,30.41,1,1,3.83,6.24,2.05
Yes,Not_Travel,Research,Bachelor,2,Female,3,1,Sales Representative,1,Single,No,9.87,4,22.25,3,1,8.01,13.96,14.91
Yes,Travel_Frequently,Finance,Doctor,2,Male,1,1,Human Resources Manager,4,Married,Yes,9.16,1,0.94,1,5,23.26,0.95,3.17
Yes,Not_Travel,Sales,Bachelor,4,Female,3,5,Human Resources Manager,4,Divorced,No,2.67,3,16.69,2,3,29.47,16.92,19.29
No,Not_Travel,Marketing,Doctor,4,Male,2,1,Marketing Specialist,1,Divorced,Yes,3.07,3,18.27,2,1,28.44,8.12,4.21
Yes,Travel_Rarely,Sales,Bachelor,4,Female,5,4,Marketing Specialist,4,Divorced,Yes,7.28,3,29.9,2,5,17.68,7.82,11.04
Yes,Travel_Frequently,Sales,Doctor,3,Male,3,4,Finance Manager,3,Married,Yes,6.51,3,32.62,9,4,18.85,17,14.04
Yes,Travel_Frequently,Human Resources,Master,3,Male,3,5,Finance Manager,2,Single,No,7.62,3,32.54,8,4,23.73,3.19,8
No,Travel_Rarely,Human Resources,Master,3,Female,5,5,Human Resources Manager,1,Married,Yes,1.77,5,20.88,9,1,9.21,6.45,8.89
Yes,Travel_Rarely,Human Resources,Bachelor,3,Female,1,1,Research Scientist,4,Married,No,9.3,2,4.38,8,1,9.59,0.43,1.94
Yes,Not_Travel,Research,Master,1,Male,3,5,Finance Manager,4,Divorced,No,2.86,3,8.7,2,5,17.07,4.15,17.17
No,Not_Travel,Marketing,Bachelor,1,Male,1,2,Marketing Specialist,2,Divorced,No,5.68,5,36.08,1,1,1.99,16.76,3.4
Yes,Not_Travel,Sales,Master,4,Female,2,3,Finance Manager,3,Married,No,2.82,2,30.52,9,4,17.45,9.92,9.34
No,Not_Travel,Finance,Doctor,4,Male,4,3,Human Resources Manager,4,Married,Yes,9.24,5,25.9,7,5,26.86,13.05,11.82
No,Travel_Frequently,Marketing,Master,2,Male,1,4,Research Scientist,2,Married,Yes,2.77,5,38.63,9,4,26.01,9.46,9.54
Yes,Travel_Rarely,Research,Bachelor,1,Female,5,5,Marketing Specialist,3,Married,Yes,0.83,2,15.22,5,2,20.81,15.95,1.13
Yes,Travel_Frequently,Sales,Bachelor,4,Female,4,1,Finance Manager,2,Single,Yes,5.33,3,11.87,8,5,8.4,9.55,1.23
Yes,Not_Travel,Research,Master,3,Male,1,4,Marketing Specialist,4,Divorced,Yes,4.3,1,24.72,3,2,14.63,17.1,1.69
Yes,Travel_Frequently,Sales,Doctor,3,Male,1,4,Marketing Specialist,3,Married,No,2.24,1,8.39,1,1,27.86,17.19,4.87
No,Not_Travel,Marketing,Master,3,Female,3,5,Human Resources Manager,4,Married,Yes,2.49,2,27.91,2,1,20.63,12.78,5.53
No,Travel_Rarely,Sales,Master,3,Male,2,2,Sales Representative,2,Divorced,No,7.88,4,29.08,1,3,9.61,6.42,6.71
Yes,Not_Travel,Human Resources,Bachelor,4,Male,5,4,Finance Manager,2,Single,Yes,4.68,2,23.84,8,5,1.54,9.39,1.87
No,Not_Travel,Sales,Doctor,3,Female,3,1,Finance Manager,2,Divorced,No,0.82,2,12.87,6,5,5.68,11.51,5.41
No,Not_Travel,Finance,Doctor,1,Female,3,1,Marketing Specialist,1,Divorced,Yes,0.2,2,5.9,9,2,17.09,18.97,15.21
Yes,Travel_Rarely,Research,Master,4,Female,5,3,Marketing Specialist,3,Divorced,Yes,2.48,4,30.49,2,5,15.54,15.82,14.14
Yes,Travel_Rarely,Human Resources,Bachelor,1,Male,5,5,Marketing Specialist,1,Married,No,5.63,1,11.61,4,2,29.02,1.33,9.95
No,Travel_Frequently,Marketing,Master,1,Female,2,3,Finance Manager,1,Divorced,No,8.11,5,32.25,4,1,6.19,18.52,2
Yes,Not_Travel,Sales,Doctor,4,Female,3,1,Research Scientist,1,Divorced,Yes,4,1,26.62,6,4,7.52,1.16,17.23
No,Travel_Rarely,Marketing,Doctor,1,Male,3,1,Sales Representative,4,Divorced,No,6.57,2,5.12,7,4,23.74,8.19,11.5
No,Travel_Frequently,Human Resources,Master,4,Male,4,1,Sales Representative,1,Married,Yes,5.18,3,18.49,5,5,27.09,9.44,7.87
No,Not_Travel,Research,Doctor,4,Female,2,4,Human Resources Manager,1,Married,No,5.99,4,7.31,3,5,29.48,3.6,2.9
Yes,Not_Travel,Research,Doctor,1,Male,5,1,Marketing Specialist,3,Divorced,No,2.61,4,22.83,1,2,17.69,17.6,7.89
Yes,Travel_Frequently,Finance,Doctor,2,Female,5,5,Sales Representative,1,Divorced,No,2.65,1,13.48,1,1,2.09,4.46,1.15
No,Travel_Rarely,Marketing,Doctor,1,Female,1,4,Finance Manager,2,Married,Yes,7.72,2,32.61,7,1,4.95,3.02,0.87
Yes,Not_Travel,Finance,Doctor,1,Male,4,3,Finance Manager,4,Single,No,9.46,3,1.97,2,4,29.58,15.9,13.14
No,Travel_Rarely,Sales,Bachelor,1,Female,5,3,Human Resources Manager,2,Divorced,No,0.21,5,34.26,4,5,24,4.62,15.95
Yes,Travel_Frequently,Finance,Doctor,3,Male,3,4,Research Scientist,4,Single,No,9.96,1,6.34,4,3,15.79,0.2,13.1
Yes,Travel_Rarely,Marketing,Doctor,1,Female,5,2,Research Scientist,4,Married,Yes,5.49,1,11.66,3,1,20.7,3.26,13.53
No,Travel_Frequently,Research,Bachelor,4,Male,5,5,Human Resources Manager,2,Single,Yes,8.58,4,31.59,9,3,2.94,6.03,8.54
No,Travel_Rarely,Human Resources,Bachelor,2,Female,4,5,Finance Manager,2,Single,No,2.85,4,27.12,4,1,1.51,12.71,12.95
No,Travel_Rarely,Research,Master,4,Male,3,5,Sales Representative,3,Single,Yes,3.53,1,28.76,2,4,14.64,14.74,3.83
No,Travel_Rarely,Research,Doctor,3,Male,4,5,Human Resources Manager,4,Married,No,2.12,1,16.26,4,3,17.42,17.52,18.37
Yes,Travel_Frequently,Marketing,Bachelor,3,Female,1,2,Sales Representative,1,Married,Yes,8.16,3,21.52,5,3,15.76,8.59,4.2
Yes,Travel_Frequently,Human Resources,Bachelor,4,Male,1,3,Research Scientist,2,Single,No,1.69,1,21.99,4,3,19.04,1.24,13.31
No,Not_Travel,Sales,Bachelor,2,Male,3,5,Human Resources Manager,3,Single,No,5.67,3,19.5,5,4,25.14,0.51,5.16
No,Travel_Frequently,Finance,Master,3,Male,5,4,Human Resources Manager,2,Single,No,9.01,2,13.91,8,2,0.15,14.04,17.09
No,Travel_Rarely,Sales,Bachelor,1,Female,3,4,Sales Representative,4,Single,No,3.79,2,20.91,3,4,15.84,16.24,1.74
Yes,Not_Travel,Human Resources,Bachelor,4,Male,5,3,Research Scientist,2,Married,No,7.32,4,36.05,1,4,13.45,2.38,8.02
Yes,Not_Travel,Human Resources,Master,4,Male,4,1,Finance Manager,1,Married,Yes,4.75,2,36.23,4,5,5.3,0.89,8.92
Yes,Not_Travel,Human Resources,Master,2,Female,4,5,Finance Manager,1,Single,No,4.2,2,14.14,7,4,24.41,13.05,9.99
No,Travel_Rarely,Human Resources,Bachelor,4,Male,5,4,Human Resources Manager,2,Divorced,No,8.82,3,23.3,7,3,4.86,13.96,5.55
Yes,Travel_Rarely,Research,Doctor,4,Male,3,3,Human Resources Manager,4,Married,No,8.18,3,29.62,3,4,1.97,13.06,1.61
No,Travel_Rarely,Finance,Bachelor,3,Male,2,5,Marketing Specialist,4,Divorced,Yes,2.57,5,31.5,2,4,12.12,3.78,13.27
No,Travel_Rarely,Research,Master,3,Female,1,3,Finance Manager,4,Divorced,No,7.91,2,15.94,3,3,20.72,7,1.62
Yes,Not_Travel,Human Resources,Doctor,4,Male,2,4,Research Scientist,1,Married,No,5.59,4,31.5,7,3,9.82,0.46,3.69
Yes,Travel_Rarely,Finance,Bachelor,1,Female,5,2,Marketing Specialist,1,Divorced,No,2.29,3,27.16,3,3,22.13,6.92,9.61
Yes,Not_Travel,Research,Master,3,Female,4,5,Human Resources Manager,4,Divorced,Yes,9.16,3,8.03,2,5,21.95,18.21,17.06
Yes,Not_Travel,Sales,Master,4,Male,4,3,Research Scientist,2,Divorced,No,8.65,4,20.22,5,4,24,1.22,3
Yes,Travel_Frequently,Human Resources,Doctor,4,Male,2,4,Research Scientist,2,Single,No,8.03,4,13.72,3,2,29.22,8.47,5.2
No,Travel_Rarely,Research,Bachelor,4,Female,3,5,Human Resources Manager,4,Divorced,Yes,1.45,2,21.25,1,3,16.58,8.28,2.15
Yes,Travel_Rarely,Sales,Master,1,Male,4,5,Finance Manager,2,Single,Yes,5.63,1,13.93,3,2,26.2,5.81,2.59
No,Travel_Frequently,Finance,Bachelor,2,Female,3,2,Research Scientist,1,Single,No,0.56,5,12.46,2,1,2.95,18.7,14.65
No,Travel_Frequently,Marketing,Master,3,Female,3,4,Human Resources Manager,1,Married,Yes,4.84,4,25.19,4,3,0.93,17.23,8.02
Yes,Not_Travel,Human Resources,Master,4,Female,3,2,Human Resources Manager,3,Married,No,7.79,3,27.39,8,4,1.93,19.12,14.89
No,Travel_Frequently,Marketing,Bachelor,4,Male,1,2,Sales Representative,3,Single,No,8.36,5,9.3,8,2,20.7,18.9,12.17
No,Travel_Frequently,Finance,Master,1,Male,2,3,Marketing Specialist,4,Single,Yes,0.64,3,2.31,1,3,23.85,4.78,11.22
Yes,Not_Travel,Sales,Master,4,Male,1,5,Human Resources Manager,1,Single,Yes,0.23,4,8.54,4,2,5.11,4.43,4.23
Yes,Travel_Rarely,Marketing,Bachelor,4,Female,4,4,Human Resources Manager,1,Married,Yes,5.56,3,23.47,2,4,4.67,11.9,4.35
No,Travel_Rarely,Research,Bachelor,1,Male,3,4,Sales Representative,3,Divorced,No,7.13,4,28.48,5,2,27.57,11.43,11.69
Yes,Travel_Rarely,Research,Bachelor,1,Male,4,3,Research Scientist,3,Married,No,6.19,1,36.77,8,4,13.8,12.03,5.96
No,Not_Travel,Research,Doctor,4,Male,2,5,Marketing Specialist,4,Divorced,No,7.24,4,32.16,1,3,5.7,8.02,5.5
No,Travel_Frequently,Finance,Bachelor,2,Male,1,5,Finance Manager,1,Divorced,No,5.06,3,22.77,4,2,14.87,3.79,13.1
No,Travel_Frequently,Finance,Master,4,Male,4,3,Research Scientist,3,Divorced,No,2.66,4,16.27,8,2,22.73,1.01,15.8
Yes,Not_Travel,Finance,Doctor,4,Female,5,3,Sales Representative,2,Single,Yes,0.28,2,8.95,7,1,28.25,13.31,11.69
No,Travel_Rarely,Finance,Master,4,Male,1,2,Research Scientist,2,Divorced,Yes,1.98,1,33.76,4,5,29.81,2.58,19.21
Yes,Not_Travel,Sales,Master,1,Female,4,5,Human Resources Manager,2,Divorced,No,1.91,2,25.33,3,1,9.44,9.85,15.64
No,Not_Travel,Finance,Bachelor,4,Female,2,5,Research Scientist,4,Divorced,Yes,9.86,4,0.66,8,2,6.31,1.57,14.09
No,Travel_Frequently,Finance,Master,2,Female,4,1,Sales Representative,4,Single,No,8.4,3,37.95,2,5,5.06,1.6,2.74
No,Travel_Rarely,Research,Master,2,Female,4,3,Sales Representative,1,Single,Yes,0.58,1,17.43,1,2,7.34,18.81,1.38
No,Travel_Rarely,Marketing,Bachelor,3,Male,2,2,Research Scientist,3,Single,No,4.07,2,14.29,1,3,1.42,17.18,9.98
No,Travel_Rarely,Human Resources,Master,1,Male,2,5,Marketing Specialist,2,Single,No,7.76,2,1.89,9,5,21.18,13,3.12
No,Travel_Rarely,Sales,Master,4,Male,5,4,Finance Manager,4,Single,Yes,1.59,4,5.65,2,1,27.1,14.83,0.36
Yes,Travel_Frequently,Finance,Master,2,Female,4,1,Finance Manager,2,Married,No,5.45,5,34.75,1,1,14.1,17.71,19.71
No,Not_Travel,Finance,Bachelor,3,Female,2,5,Research Scientist,1,Single,No,2.74,2,24.48,5,1,12.33,1.25,4.51
No,Not_Travel,Human Resources,Bachelor,1,Female,4,2,Research Scientist,4,Married,No,6.45,2,31.81,1,3,6.67,18.35,1.13
Yes,Travel_Rarely,Marketing,Master,3,Male,3,1,Sales Representative,4,Divorced,No,5.89,2,35.59,8,1,14.78,16.26,5.83
Yes,Travel_Frequently,Sales,Doctor,4,Female,4,3,Finance Manager,3,Divorced,Yes,8.27,3,3.79,4,2,25.97,9.66,4.99
Yes,Not_Travel,Finance,Master,2,Male,2,3,Finance Manager,4,Single,No,4.79,2,7.4,8,1,1.41,6.36,8.13
Yes,Travel_Rarely,Marketing,Master,2,Female,5,2,Finance Manager,2,Married,No,8.23,1,5.88,5,4,15.17,5.35,17.67
Yes,Travel_Frequently,Marketing,Master,2,Male,3,4,Sales Representative,2,Married,Yes,7.96,2,38.16,8,5,7.63,11.59,7.5
No,Travel_Rarely,Sales,Doctor,2,Male,1,1,Sales Representative,3,Married,No,4.51,2,17.77,9,2,17.43,8.59,16.93
Yes,Not_Travel,Sales,Doctor,4,Female,4,2,Research Scientist,4,Single,Yes,3.8,4,12.6,5,5,14.54,8.65,7.84
No,Travel_Frequently,Research,Doctor,4,Male,1,1,Finance Manager,1,Single,Yes,5.24,5,23.71,9,2,25.78,18.06,16.26
No,Travel_Rarely,Human Resources,Bachelor,2,Male,4,3,Finance Manager,1,Married,Yes,3.52,2,3.61,7,4,15.41,1.75,1.85
No,Not_Travel,Research,Master,1,Male,2,4,Sales Representative,4,Single,No,9.48,3,16.45,1,3,15.96,9.87,11.64
Yes,Travel_Rarely,Finance,Bachelor,2,Male,3,2,Finance Manager,4,Divorced,Yes,4.34,4,33.56,8,2,21.8,11.85,19.31
No,Travel_Rarely,Human Resources,Master,1,Male,1,4,Marketing Specialist,1,Single,Yes,4.72,4,5.53,3,2,24.39,18.7,19.71
Yes,Travel_Frequently,Research,Doctor,1,Male,5,3,Human Resources Manager,4,Married,No,4.34,3,19.98,8,1,1.37,2.15,18.42
No,Travel_Frequently,Sales,Master,3,Male,2,4,Marketing Specialist,3,Single,No,4.44,1,1.62,5,2,2.56,19.81,19.58
No,Not_Travel,Research,Bachelor,2,Male,5,1,Finance Manager,4,Divorced,Yes,9.72,2,31.63,7,1,1.44,15.17,5.12
No,Not_Travel,Sales,Bachelor,4,Female,3,4,Human Resources Manager,3,Married,Yes,8.85,1,22.26,4,5,23.34,4.04,2.59
No,Travel_Rarely,Human Resources,Master,4,Male,1,1,Human Resources Manager,2,Divorced,Yes,5.67,1,27.37,7,4,16.96,7.24,18.33
No,Not_Travel,Human Resources,Doctor,3,Male,1,5,Research Scientist,3,Single,No,5.99,2,37.1,8,4,23.71,19.74,0.17
Yes,Travel_Frequently,Sales,Bachelor,4,Female,4,5,Finance Manager,4,Married,No,4.18,5,18.49,2,5,20.79,18.7,5.47
Yes,Travel_Rarely,Sales,Doctor,2,Female,2,2,Marketing Specialist,1,Divorced,No,4.56,5,7.4,5,1,2.94,1.67,17.45
Yes,Travel_Rarely,Marketing,Master,4,Female,2,3,Human Resources Manager,4,Divorced,No,9.12,5,26.93,3,4,15.39,17.53,16.75
Yes,Travel_Rarely,Sales,Master,2,Male,5,2,Human Resources Manager,2,Married,No,8.76,3,36.02,1,3,25.4,8.06,17.51
Yes,Travel_Frequently,Sales,Doctor,2,Male,4,2,Research Scientist,4,Divorced,Yes,1.41,3,38.42,3,1,13.83,17.48,18.54
No,Not_Travel,Sales,Master,1,Male,1,1,Research Scientist,2,Single,Yes,8.66,5,9.25,7,2,29.05,8.51,6.28
No,Travel_Rarely,Human Resources,Doctor,4,Female,2,5,Human Resources Manager,4,Single,No,6.8,5,24.52,3,1,25.99,1.11,18.23
Yes,Travel_Rarely,Human Resources,Master,4,Female,5,4,Sales Representative,4,Divorced,No,6.55,1,35.13,1,4,17.02,9.21,14.09
No,Travel_Frequently,Finance,Doctor,3,Female,5,5,Research Scientist,4,Single,No,5.31,5,24.19,1,5,0.53,14.37,19.49
No,Not_Travel,Sales,Master,1,Female,1,1,Finance Manager,4,Married,No,7.78,4,28.84,7,2,24.16,16.91,18.07
Yes,Travel_Rarely,Finance,Bachelor,1,Female,2,1,Research Scientist,3,Single,Yes,0.58,4,1.17,2,4,20.1,1.94,17.99
No,Travel_Rarely,Human Resources,Bachelor,2,Male,5,1,Human Resources Manager,4,Married,No,0.71,2,14.73,5,2,26.47,17.22,8.52
No,Travel_Rarely,Marketing,Bachelor,4,Male,4,3,Research Scientist,2,Divorced,No,9.24,3,20.56,7,3,14.08,6.87,17.79
